initial_weight_kg,age_days,sex_male,bos_indicus_proportion_pct,supplement_amount_kg_day,supplement_crude_protein_pct,supplement_metabolizable_energy,supplementation_frequency_days_week,forage_crude_protein_pct,forage_digestibility_pct,days_on_pasture,paddock_rotation,transport_stress,mean_temperature_c,accumulated_rainfall_mm,days_since_health_event,health_event_duration_days,recent_vaccination,recent_deworming,adg_kg_day
149,200,0,50.0,1.49,30,2.0,7,10.42,61.2,92,1,0,27.0,0.8,0,0,0,0,0.489130435
248,410,0,100.0,0.816,30,20.0,7,5.5,47.2,80,1,0,18.9,28.4,0,0,0,0,0.6
210,634,0,100.0,0.925,30,20.0,7,9.2,57.2,374,1,0,22.1,948.8,0,0,0,0,0.5267
299,664,0,50.0,1.260,30,20.0,7,9.2,57.2,214,1,0,21.2,198.4,0,0,0,0,0.4019
306,754,0,100.0,1.060,30,20.0,7,9.2,57.2,214,1,0,21.2,198.4,0,0,0,0,0.2757
279,724,0,100.0,1.120,30,20.0,7,9.2,57.2,374,1,0,22.1,948.8,0,0,0,0,0.3128
191,574,0,100.0,0.842,30,20.0,7,9.2,57.2,374,1,0,22.1,948.8,0,0,0,0,0.4786
181,569,0,100.0,0.81,30,20.0,7,9.2,57.2,374,1,0,22.1,948.8,0,0,0,0,0.4759
129,564,0,50.0,0.676,30,20.0,7,9.2,57.2,374,1,0,22.1,948.8,0,0,0,0,0.516
281,694,0,0.0,0.947,30,20.0,7,9.2,57.2,214,1,0,21.2,198.4,0,0,0,0,0.3224
215,637,0,100.0,0.928,30,20.0,7,9.2,57.2,367,1,0,22.1,904.4,0,0,0,0,0.515
126,466,0,100.0,0.678,30,20.0,7,9.2,57.2,346,1,0,22.1,769.5,0,0,0,0,0.578
